Manufacturer,MfrPartName,TChar,Capacitance,VoltageRatedDC,Volume,Package,C_Cv,V_Cv,C0,Cr,Vr,Cr_n,Er,Ce,EnergyDensity
TDK,CGA2B3X5R1V473M050BB Equiv. C1005X5R1V473M for Auto,X5R,47nF,35,2.75E-10,402,[4.7e-08 4.83344e-08 4.81022e-08 4.7786e-08 4.72034e-08 4.67153e-08 4.59289e-08 4.46429e-08 4.28333e-08 4.03352e-08 3.66066e-08 2.76746e-08 2.25034e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],4.70E-08,2.25E-08,30,0.478795745,1.47E-05,3.26E-08,53327.33663
TDK,CGA2B3X5R1V683K050BB Equiv. C1005X5R1V683K for Auto,X5R,68nF,35,2.75E-10,402,[6.8e-08 6.81719e-08 6.74346e-08 6.60809e-08 6.44004e-08 6.2605e-08 6.00565e-08 5.62084e-08 5.1278e-08 4.51072e-08 3.69613e-08 2.31861e-08 1.7885e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],6.80E-08,1.79E-08,30,0.263014706,1.45E-05,3.21E-08,52566.47579
TDK,CGA2B3X5R1V683M050BB Equiv. C1005X5R1V683M for Auto,X5R,68nF,35,2.75E-10,402,[6.8e-08 6.81719e-08 6.74346e-08 6.60809e-08 6.44004e-08 6.2605e-08 6.00565e-08 5.62084e-08 5.1278e-08 4.51072e-08 3.69613e-08 2.31861e-08 1.7885e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30],6.80E-08,1.79E-08,30,0.263014706,1.45E-05,3.21E-08,52566.47579
TDK,CGA2B3X7R0J154K050BB Equiv. C1005X7R0J154K for Auto,X7R,150nF,6.3,2.75E-10,402,[1.5e-07 1.47099e-07 1.43924e-07 1.38518e-07 1.33361e-07 1.27238e-07 1.18136e-07],[0 1 2 3.15 4 5 6.3],1.50E-07,1.18E-07,6.3,0.787573333,2.61E-06,1.32E-07,9505.609068
TDK,CGA2B3X7R0J154M050BB Equiv. C1005X7R0J154M for Auto,X7R,150nF,6.3,2.75E-10,402,[1.5e-07 1.47099e-07 1.43924e-07 1.38518e-07 1.33361e-07 1.27238e-07 1.18136e-07],[0 1 2 3.15 4 5 6.3],1.50E-07,1.18E-07,6.3,0.787573333,2.61E-06,1.32E-07,9505.609068
TDK,CGA2B3X7R0J224K050BB Equiv. C1005X7R0J224K for Auto,X7R,220nF,6.3,2.75E-10,402,[2.2e-07 2.1626e-07 2.09759e-07 2.00311e-07 1.89538e-07 1.78349e-07 1.58611e-07],[0 1 2 3.15 4 5 6.3],2.20E-07,1.59E-07,6.3,0.720959091,3.70E-06,1.87E-07,13459.7541
TDK,CGA2B3X7R0J224M050BB Equiv. C1005X7R0J224M for Auto,X7R,220nF,6.3,2.75E-10,402,[2.2e-07 2.1626e-07 2.09759e-07 2.00311e-07 1.89538e-07 1.78349e-07 1.58611e-07],[0 1 2 3.15 4 5 6.3],2.20E-07,1.59E-07,6.3,0.720959091,3.70E-06,1.87E-07,13459.7541
TDK,CGA2B3X7R1E104K050BB Equiv. C1005X7R1E104K for Auto,X7R,100nF,25,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-07,3.54E-08,25,0.353656,1.76E-05,5.62E-08,63866.36112
TDK,CGA2B3X7R1E104M050BB Equiv. C1005X7R1E104M for Auto,X7R,100nF,25,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],1.00E-07,3.54E-08,25,0.353656,1.76E-05,5.62E-08,63866.36112
TDK,CGA2B3X7R1E154K050BB Equiv. C1005X7R1E154K for Auto,X7R,150nF,25,2.75E-10,402,[1.5e-07 1.51498e-07 1.50116e-07 1.48244e-07 1.45481e-07 1.40598e-07 1.34388e-07 1.257e-07 1.13957e-07 1.00489e-07 8.50726e-08 6.72474e-08 3.97266e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],1.50E-07,3.97E-08,25,0.264844,2.18E-05,6.98E-08,79283.54952
TDK,CGA2B3X7R1E154M050BB Equiv. C1005X7R1E154M for Auto,X7R,150nF,25,2.75E-10,402,[1.5e-07 1.51498e-07 1.50116e-07 1.48244e-07 1.45481e-07 1.40598e-07 1.34388e-07 1.257e-07 1.13957e-07 1.00489e-07 8.50726e-08 6.72474e-08 3.97266e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],1.50E-07,3.97E-08,25,0.264844,2.18E-05,6.98E-08,79283.54952
TDK,CGA2B3X7R1E224K050BB Equiv. C1005X7R1E224K for Auto,X7R,220nF,25,2.75E-10,402,[2.2e-07 2.21696e-07 2.18533e-07 2.14802e-07 2.09479e-07 2.00322e-07 1.89077e-07 1.73846e-07 1.54026e-07 1.32301e-07 1.08761e-07 8.33679e-08 4.77804e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-07,4.78E-08,25,0.217183636,2.79E-05,8.93E-08,101503.0249
TDK,CGA2B3X7R1E224K050BE Equiv. C1005X7R1E224K for Auto,X7R,220nF,25,3.00E-10,402,[2.2e-07 2.21696e-07 2.18533e-07 2.14802e-07 2.09479e-07 2.00322e-07 1.89077e-07 1.73846e-07 1.54026e-07 1.32301e-07 1.08761e-07 8.33679e-08 4.77804e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-07,4.78E-08,25,0.217183636,2.79E-05,8.93E-08,93044.43951
TDK,CGA2B3X7R1E224M050BB Equiv. C1005X7R1E224M for Auto,X7R,220nF,25,2.75E-10,402,[2.2e-07 2.21696e-07 2.18533e-07 2.14802e-07 2.09479e-07 2.00322e-07 1.89077e-07 1.73846e-07 1.54026e-07 1.32301e-07 1.08761e-07 8.33679e-08 4.77804e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-07,4.78E-08,25,0.217183636,2.79E-05,8.93E-08,101503.0249
TDK,CGA2B3X7R1E224M050BE Equiv. C1005X7R1E224M for Auto,X7R,220nF,25,3.00E-10,402,[2.2e-07 2.21696e-07 2.18533e-07 2.14802e-07 2.09479e-07 2.00322e-07 1.89077e-07 1.73846e-07 1.54026e-07 1.32301e-07 1.08761e-07 8.33679e-08 4.77804e-08],[0 1.25 2 2.5 3.15 4 5 6.3 8 10 12.5 16 25],2.20E-07,4.78E-08,25,0.217183636,2.79E-05,8.93E-08,93044.43951
TDK,CGA2B3X7R1E683K050BB Equiv. C1005X7R1E683K for Auto,X7R,68nF,25,2.75E-10,402,[6.8e-08 6.81719e-08 6.74346e-08 6.60809e-08 6.44004e-08 6.2605e-08 6.00565e-08 5.62084e-08 5.1278e-08 4.51072e-08 3.69613e-08 2.31861e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],6.80E-08,2.32E-08,25,0.340972059,1.16E-05,3.70E-08,42072.46877
TDK,CGA2B3X7R1E683M050BB Equiv. C1005X7R1E683M for Auto,X7R,68nF,25,2.75E-10,402,[6.8e-08 6.81719e-08 6.74346e-08 6.60809e-08 6.44004e-08 6.2605e-08 6.00565e-08 5.62084e-08 5.1278e-08 4.51072e-08 3.69613e-08 2.31861e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25],6.80E-08,2.32E-08,25,0.340972059,1.16E-05,3.70E-08,42072.46877
TDK,CGA2B3X7R1H103K050BB Equiv. C1005X7R1H103K for Auto,X7R,10nF,50,2.75E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,22783.81467
TDK,CGA2B3X7R1H103K050BD Equiv. C1005X7R1H103K for Auto,X7R,10nF,50,3.00E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,20885.16344
TDK,CGA2B3X7R1H103K050BE Equiv. C1005X7R1H103K for Auto,X7R,10nF,50,3.00E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,20885.16344
TDK,CGA2B3X7R1H103M050BB Equiv. C1005X7R1H103M for Auto,X7R,10nF,50,2.75E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,22783.81467
TDK,CGA2B3X7R1H103M050BD Equiv. C1005X7R1H103M for Auto,X7R,10nF,50,3.00E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,20885.16344
TDK,CGA2B3X7R1H103M050BE Equiv. C1005X7R1H103M for Auto,X7R,10nF,50,3.00E-10,402,[1e-08 1.01108e-08 1.01271e-08 1.00956e-08 9.99451e-09 9.91741e-09 9.79383e-09 9.56899e-09 9.24095e-09 8.77811e-09 8.07747e-09 6.18501e-09 5.17429e-09 3.79496e-09 2.88969e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-08,2.89E-09,50,0.288969,6.27E-06,5.01E-09,20885.16344
TDK,CGA2B3X7R1H104K050BB Equiv. C1005X7R1H104K for Auto,X7R,100nF,50,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,135327.4191
TDK,CGA2B3X7R1H104K050BD Equiv. C1005X7R1H104K for Auto,X7R,100nF,50,3.00E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,124050.1342
TDK,CGA2B3X7R1H104K050BE Equiv. C1005X7R1H104K for Auto,X7R,100nF,50,3.00E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,124050.1342
TDK,CGA2B3X7R1H104M050BB Equiv. C1005X7R1H104M for Auto,X7R,100nF,50,2.75E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,135327.4191
TDK,CGA2B3X7R1H104M050BD Equiv. C1005X7R1H104M for Auto,X7R,100nF,50,3.00E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,124050.1342
TDK,CGA2B3X7R1H104M050BE Equiv. C1005X7R1H104M for Auto,X7R,100nF,50,3.00E-10,402,[1e-07 1.0206e-07 1.01214e-07 9.90452e-08 9.68771e-08 9.40634e-08 9.03081e-08 8.47911e-08 7.74085e-08 6.82862e-08 5.62422e-08 3.53656e-08 2.73145e-08 1.89576e-08 1.42683e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.00E-07,1.43E-08,50,0.142683,3.72E-05,2.98E-08,124050.1342
TDK,CGA2B3X7R1H153K050BB Equiv. C1005X7R1H153K for Auto,X7R,15nF,50,2.75E-10,402,[1.5e-08 1.48417e-08 1.48185e-08 1.47459e-08 1.45739e-08 1.4452e-08 1.42421e-08 1.38869e-08 1.33715e-08 1.2639e-08 1.15409e-08 8.78725e-09 7.27579e-09 5.27574e-09 3.98439e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.50E-08,3.98E-09,50,0.265626,8.84E-06,7.07E-09,32143.71328
TDK,CGA2B3X7R1H153M050BB Equiv. C1005X7R1H153M for Auto,X7R,15nF,50,2.75E-10,402,[1.5e-08 1.48417e-08 1.48185e-08 1.47459e-08 1.45739e-08 1.4452e-08 1.42421e-08 1.38869e-08 1.33715e-08 1.2639e-08 1.15409e-08 8.78725e-09 7.27579e-09 5.27574e-09 3.98439e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],1.50E-08,3.98E-09,50,0.265626,8.84E-06,7.07E-09,32143.71328
TDK,CGA2B3X7R1H223K050BB Equiv. C1005X7R1H223K for Auto,X7R,22nF,50,2.75E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,46565.27078
TDK,CGA2B3X7R1H223K050BD Equiv. C1005X7R1H223K for Auto,X7R,22nF,50,3.00E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,42684.83155
TDK,CGA2B3X7R1H223K050BE Equiv. C1005X7R1H223K for Auto,X7R,22nF,50,3.00E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,42684.83155
TDK,CGA2B3X7R1H223M050BB Equiv. C1005X7R1H223M for Auto,X7R,22nF,50,2.75E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,46565.27078
TDK,CGA2B3X7R1H223M050BD Equiv. C1005X7R1H223M for Auto,X7R,22nF,50,3.00E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,42684.83155
TDK,CGA2B3X7R1H223M050BE Equiv. C1005X7R1H223M for Auto,X7R,22nF,50,3.00E-10,402,[2.2e-08 2.1815e-08 2.17303e-08 2.15805e-08 2.13156e-08 2.11014e-08 2.08028e-08 2.0249e-08 1.94386e-08 1.83974e-08 1.67342e-08 1.27707e-08 1.05087e-08 7.62524e-09 5.73284e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],2.20E-08,5.73E-09,50,0.260583636,1.28E-05,1.02E-08,42684.83155
TDK,CGA2B3X7R1H333K050BB Equiv. C1005X7R1H333K for Auto,X7R,33nF,50,2.75E-10,402,[3.3e-08 3.34156e-08 3.33116e-08 3.3182e-08 3.28122e-08 3.24626e-08 3.19709e-08 3.12128e-08 3.00483e-08 2.84679e-08 2.60892e-08 2.01593e-08 1.67801e-08 1.23345e-08 9.25868e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],3.30E-08,9.26E-09,50,0.280566061,2.03E-05,1.63E-08,73950.93206
TDK,CGA2B3X7R1H333M050BB Equiv. C1005X7R1H333M for Auto,X7R,33nF,50,2.75E-10,402,[3.3e-08 3.34156e-08 3.33116e-08 3.3182e-08 3.28122e-08 3.24626e-08 3.19709e-08 3.12128e-08 3.00483e-08 2.84679e-08 2.60892e-08 2.01593e-08 1.67801e-08 1.23345e-08 9.25868e-09],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],3.30E-08,9.26E-09,50,0.280566061,2.03E-05,1.63E-08,73950.93206
TDK,CGA2B3X7R1H473K050BB Equiv. C1005X7R1H473K for Auto,X7R,47nF,50,2.75E-10,402,[4.7e-08 4.83344e-08 4.81022e-08 4.7786e-08 4.72034e-08 4.67153e-08 4.59289e-08 4.46429e-08 4.28333e-08 4.03352e-08 3.66066e-08 2.76746e-08 2.25034e-08 1.63716e-08 1.22686e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],4.70E-08,1.23E-08,50,0.261034043,2.77E-05,2.22E-08,100782.8576
TDK,CGA2B3X7R1H473K050BD Equiv. C1005X7R1H473K for Auto,X7R,47nF,50,3.00E-10,402,[4.7e-08 4.83344e-08 4.81022e-08 4.7786e-08 4.72034e-08 4.67153e-08 4.59289e-08 4.46429e-08 4.28333e-08 4.03352e-08 3.66066e-08 2.76746e-08 2.25034e-08 1.63716e-08 1.22686e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],4.70E-08,1.23E-08,50,0.261034043,2.77E-05,2.22E-08,92384.28612
TDK,CGA2B3X7R1H473K050BE Equiv. C1005X7R1H473K for Auto,X7R,47nF,50,3.00E-10,402,[4.7e-08 4.83344e-08 4.81022e-08 4.7786e-08 4.72034e-08 4.67153e-08 4.59289e-08 4.46429e-08 4.28333e-08 4.03352e-08 3.66066e-08 2.76746e-08 2.25034e-08 1.63716e-08 1.22686e-08],[0 1 2 3.15 4 5 6.3 8 10 12.5 16 25 30 40 50],4.70E-08,1.23E-08,50,0.261034043,2.77E-05,2.22E-08,92384.28612
